決済日,内容,散財額,支払い方法,分類
旅行前確定分,飛行機代,16090,クレジット,移動費
旅行前確定分,カプセルホテル代,7900,クレジット,滞在費
10/25,函館バス,270,Suica,移動費
10/25,バス 成田->東京,1000,現金,移動費
10/25,麦茶,100,Suica,食費
10/25,ガストS カレー,300,現金,食費
10/25,EXCELSIOR CAFFE アーモンドキャラメルなんとか,380,Suica,滞在費
10/25,東京メトロ24h券,600,現金,移動費
10/26,本(色彩検定3級),1512,クレジット,自生
10/26,サイゼリヤ,568,現金,食費
10/26,SUNDAY COFFEE STAND,320,現金,滞在費
10/26,夜ご飯(カップ麺+麦茶+お菓子),385,Suica,食費
10/27,東京メトロ24h券,600,現金,移動費
10/27,京王線 新宿->OSC会場,340,Suica,移動費
10/27,へにゃぺんてさん 自作OS本*6,4000,現金,OSC2018Tokyo/Fall
10/27,明星大学学食 カレー,380,現金,食費
10/27,OSC懇親会費,500,現金,OSC2018Tokyo/Fall
10/27,緑茶,140,Suica,食費
10/27,モノレール 明星大学前->多摩センター,237,Suica,移動費
10/27,京王線 多摩センター->新宿,319,Suica,移動費
10/28,メトロ 田原町->新宿,237,Suica,移動費
10/28,京王線 新宿->OSC会場,340,Suica,移動費
10/28,麦茶,100,Suica,食費
