決済日,内容,散財額,支払い方法,分類
旅行前確定分,飛行機代,23920,クレジット,交通費
旅行前確定分,参加費,13913,クレジット,OSSummit
旅行前確定分,宿代,11300,クレジット,滞在費
旅行前確定分,LVチケット代,4716,クレジット,Aqours3rd
6/16,飲み物,140,suica,食費
6/16,函館バス,270,suica,交通費
6/16,おにぎり,116,suica,食費
6/16,成田東京間バス,1000,現金,交通費
6/16,東京新宿間JR,194,suica,交通費
6/16,Aqours3rd大阪ピンバッジ,1500,クレジット,おつかい
6/16,プレミアム牛めし,380,suica,食費
6/16,東京メトロ24時間券(14:30頃利用開始),600,現金,交通費
6/16,LVチケ発券手数料,108,現金,Aqours3rd
6/16,Starbucks,572,StarbucksCard,食費
6/17,カップ麺(ネカフェ内売店),210,現金,食費
6/17,ネカフェ代,2700,クレジット,滞在費
6/17,GoogleHomeMini*2,6480,suica,おつかい
6/17,イヤホン,3380,suica,自生
6/17,油そば,700,現金,食費
6/17,秋葉原舞浜間JR,216,suica,交通費
6/17,飲み物,205,suica,食費
6/17,Aqours3rdガチャ,1000,現金,Aqours3rd
6/17,コインロッカー(イクスピアリ),400,suica,Aqours3rd
6/17,舞浜東京間JR,216,suica,交通費
6/17,東京メトロ24時間券(21:00頃利用開始),600,現金,交通費
6/18,コインロッカー(ホテル),200,現金,滞在費
6/18,飲み物,100,suica,食費
6/18,野郎ラーメン,780,現金,食費
6/18,マック,120,suica,食費
6/18,スピードキューブ,700,現金,自生
6/18,青山一丁目汐留間,216,suica,交通費
6/18,汐留海浜公園間,319,suica,交通費
6/18,ガンプラ,7344,クレジット,おつかい
6/18,はなまるうどん,300,クレジット,食費
6/18,VirtuaLink,1500,クレジット,自生
6/18,海浜公園新橋間,319,suica,交通費
6/19,ダンボール,370,現金,滞在費
6/19,郵送料,1860,現金,滞在費
6/19,プレミアム牛めし,380,suica,食費
6/19,コミカミノルタプラネタリウム,3400,クレジット,自生
6/19,プレミアム牛めし,380,suica,食費
6/19,プラネタリウムCD,1350,クレジット,自生
6/19,Sterbucks,583,SterbucksCard,食費
